T	E	M
0.76	-1.55802323	0.42710693
1.65	-0.69087658	0.00061105
2.27	-0.47307172	0.00030119
0.75	-1.56546824	0.44140627
1.08	-1.20412269	0.01597066
1.97	-0.55742979	0.00039282
1.72	-0.65634732	0.00054719
1.07	-1.21811509	0.01697274
1.25	-0.99102045	0.00255388
1.68	-0.67542669	0.00057724
1.80	-0.62090294	0.00048613
1.38	-0.86844826	0.00130175
1.40	-0.85225592	0.00114433
0.77	-1.55040981	0.42094385
0.89	-1.44829182	0.31080121
1.99	-0.55076033	0.00038447
1.84	-0.60461251	0.00047030
1.66	-0.68549098	0.00060184
2.28	-0.47067399	0.00029900
2.01	-0.54430075	0.00037783
1.09	-1.18948607	0.01149540
1.98	-0.55409144	0.00039332
1.73	-0.65161604	0.00053186
2.00	-0.54759908	0.00037437
1.70	-0.66580458	0.00056612
1.69	-0.67051626	0.00057949
1.81	-0.61682557	0.00046501
1.86	-0.59657195	0.00044825
2.35	-0.45486493	0.00028654
1.76	-0.63794780	0.00052951
1.67	-0.68071764	0.00059365
1.71	-0.66069428	0.00056641
1.85	-0.60066655	0.00045109
1.82	-0.61275166	0.00046715
2.29	-0.46834899	0.00029846
2.02	-0.54132919	0.00037894
2.43	-0.43798042	0.00026791
2.39	-0.44626653	0.00027430
1.74	-0.64700432	0.00052278
2.47	-0.42992694	0.00026497
2.37	-0.45042797	0.00027943
1.78	-0.62933592	0.00049941
1.87	-0.59306585	0.00044629
2.45	-0.43395640	0.00026870
2.36	-0.45272188	0.00027881
1.77	-0.63360706	0.00051936
2.38	-0.44833741	0.00027802
1.83	-0.60877566	0.00045402
2.44	-0.43614418	0.00026997
1.79	-0.62498201	0.00049326
1.75	-0.64251542	0.00052763
2.30	-0.46611469	0.00029313
2.41	-0.44222615	0.00027384
2.40	-0.44421958	0.00027418
2.31	-0.46368225	0.00029230
2.48	-0.42812220	0.00026162
2.33	-0.45922730	0.00028904
2.46	-0.43206718	0.00026368
2.49	-0.42616527	0.00026061
2.42	-0.43995593	0.00027358
2.32	-0.46149451	0.00029195
2.34	-0.45698766	0.00028593
2.50	-0.42427402	0.00026255
